parent_asin,title,family,leaf_category,quality_tier,predicted_pool_member,selection_frequency,rating_number,test_event_count,max_history_length,quality_history_13,quality_history_10_rating_4,quality_catalog_history,average_rating,metadata_nonempty_count
B00CUBLHN6,"Alex and Ani Initial Expandable Wire Bangle Bracelet, 2.5""",jewelry,Snake,high_confidence,True,1.0,2507.0,9.0,9,0,0,0,4.6,9.0
B00CZOHFVQ,Soda Topshoe Dome Mid Calf Height Women's Military Combat Boots,shoes,Mid-Calf,high_confidence,True,1.0,1079.0,9.0,42,2,2,1,4.2,9.0
B00DEJI6GE,adidas Men's Contract Cap,accessories,Baseball Caps,high_confidence,True,1.0,1577.0,12.0,11,0,2,0,4.6,9.0
B00DKW2G7A,Fun World - Skeleton Glove And Wrist Bone Gloves (Adult),accessories,Accessories,high_confidence,True,1.0,871.0,6.0,17,1,1,0,4.1,9.0
B00DWRKUOO,Roxy Women's Tahiti V Flip-Flop,shoes,Flip-Flops,high_confidence,True,1.0,409.0,4.0,25,1,1,0,4.4,8.0
B00DY1ER1K,Jefferies Socks Big Girls' Cable-Knit Knee-High Sock Three-Pack,clothing,Casual & Dress Socks,high_confidence,True,1.0,5363.0,26.0,21,3,3,3,4.6,9.0
B00FAVYNKM,"WARRIOR ALPACA SOCKS - Outdoor Alpaca Wool Socks, Terry Lined with Comfort Band Opening For Men And Women",clothing,Athletic Socks,high_confidence,True,1.0,547.0,8.0,15,1,2,2,4.5,8.0
B00H58ODF8,M & F Western Men's Studded Leather Overlay Hat Band Black One Size [Apparel],accessories,Cowboy Hats,high_confidence,True,1.0,167.0,4.0,13,1,1,0,4.4,9.0
B00J9C5X3E,Disguise Deluxe Maleficent Glowing Staff,costumes & accessories,Wands,high_confidence,True,1.0,1078.0,10.0,29,3,2,1,3.8,8.0
B00JALSVUG,Woman Within Women's Plus Size Hooded Slicker Raincoat,clothing,Raincoats,high_confidence,True,1.0,352.0,8.0,14,1,2,1,4.3,9.0
B00KT12VJI,Qiyun (TM) Handmade 3D Bling Crystal Rose Flower Leaf Statement Collar Necklace Earring Set,jewelry,Jewelry Sets,high_confidence,True,1.0,498.0,8.0,13,1,1,0,3.7,6.0
B00L5YKFA0,"Hanes Women's Wireless T-shirt Bra, Moisture-Wicking Convertible Smoothing Bra, Full-coverage",clothing,Everyday Bras,high_confidence,True,1.0,19946.0,187.0,47,22,25,33,4.1,8.0
B00MH331BI,Skechers for Work Men's Felton Shoe,shoes,Fashion Sneakers,high_confidence,True,1.0,28834.0,202.0,24,13,26,40,4.4,9.0
B00N8Q8PUA,Xcoser Sporty and Trendy Bros Baseball Caps Fashion Halloween Copslay Hat for Unisex Adults Kids,clothing,Baseball Caps,high_confidence,True,1.0,231.0,4.0,19,1,1,1,4.5,9.0
B00O1FFXH0,Shacke Hidden Travel Belt Wallet w/RFID Blocker (Black with Black Strap),luggage,Travel Wallets,high_confidence,True,1.0,2457.0,22.0,25,2,1,1,4.5,9.0
B00O9OA01W,"Atsko Sno-Seal Original Beeswax Waterproofing Leather Protector, 7 oz","shoe, jewelry & watch accessories",Shoe Treatments & Polishes,high_confidence,True,1.0,1060.0,4.0,13,1,2,1,4.7,9.0
B00OUT1UUG,Ruby Rd. Women's Classic Flat Front Denim Jean,clothing,Jeans,high_confidence,True,1.0,387.0,5.0,15,1,1,1,3.9,9.0
B00PUDT8XM,"Snugpak Patrol Poncho, Waterproof, One Size, Lightweight, Suitable for Hiking, Camping, and Hunting",clothing,Raincoats,high_confidence,True,1.0,1002.0,7.0,16,1,2,0,4.6,9.0
B00QNTMTJC,"Novelty Candy Cane Striped Christmas Tights, Child Large, Large One Color",costumes & accessories,Costumes,high_confidence,True,1.0,552.0,4.0,11,0,1,2,4.5,9.0
B00QRVNPJE,Columbia Men's Low Drag Offshore Short Sleeve Shirt,clothing,Button-Down Shirts,high_confidence,True,1.0,2970.0,14.0,24,2,3,2,4.7,9.0
B00RE0FU8G,Miraclekoo Rabbit Fur Ball Pom Pom KeyChain Gold Plated Keychain with Plush for Car Key Ring or Handbag Bag Decoration (Rose),accessories,"Keyrings, Keychains & Charms",high_confidence,True,1.0,1777.0,14.0,17,1,1,1,4.5,9.0
B00UG8ZH2C,ikiki Squeaky Shoes for Toddlers with On/Off Squeaker Switch,shoes,Sneakers,high_confidence,True,1.0,11384.0,104.0,19,7,10,22,4.7,8.0
B00UGIDBIY,Forever Lazy Heavyweight Adult Onesies | One-Piece Pajama Jumpsuits for Men and Women | Unisex,clothing,Sets,high_confidence,True,1.0,1233.0,16.0,24,4,3,5,4.6,8.0
B00V4ZQYWS,KingSize KS Island Men's Big & Tall Full Elastic Waist Gauze Cargo Shorts,clothing,Cargo,high_confidence,True,1.0,300.0,8.0,26,1,4,1,4.2,8.0
B00WAXEEU2,Cherokee Workwear Women's Infinity Crew Neck Scrubs Shirt,clothing,Scrub Tops,high_confidence,True,1.0,7702.0,31.0,26,3,6,6,4.7,8.0
B00WU0KAK8,Fruit of the Loom Little Girls' Assorted Briefs (Pack of 12),clothing,Panties,high_confidence,True,1.0,3045.0,23.0,23,4,5,4,4.6,8.0
B00Y0NG5OS,Hanes Men's FreshIQ Over The Calf Tube Socks (Pack of 12),clothing,Athletic Socks,high_confidence,True,1.0,1949.0,13.0,22,2,3,1,4.5,9.0
B00YV55D84,"CowCow Womens A-Line Dress Cookies Lollipop Candy Macaroon Icecream Coffee Food Dessert Skater Dress, XS-5XL",clothing,Casual,high_confidence,True,1.0,450.0,16.0,11,0,1,1,4.5,8.0
B00ZSY1MKU,Noble Mount Mens Robe - 100% Cotton Mens Flannel Robe - Fleece Lined,clothing,Robes,high_confidence,True,1.0,226.0,4.0,15,1,1,0,4.6,8.0
B010WE6VHO,Crocs Unisex Offroad Sport Clogs,shoes,Mules & Clogs,high_confidence,True,1.0,20069.0,152.0,112,17,25,34,4.7,9.0
B011LTPIQO,Barbra Lingerie Multi Pack of Women's Regular & Plus Size Lace Boyshort Panties,clothing,Boy Shorts,high_confidence,True,1.0,12087.0,76.0,32,11,12,19,4.4,8.0
B013R5RWV4,koi Classic 137 Women's Katelyn Mock-Wrap Scrub Top,clothing,Scrub Tops,high_confidence,True,1.0,2479.0,12.0,10,0,1,2,4.5,8.0
B014Z56KUE,Nova Girl's Winter Snow Boots,shoes,Boots,high_confidence,True,1.0,1140.0,6.0,9,0,0,1,4.6,9.0
B015ZQ44AK,Skechers Sport Women's No Limits Slip-On Mule Sneaker,shoes,Mules & Clogs,high_confidence,True,1.0,10988.0,114.0,46,9,9,33,4.4,9.0
B016CE49W2,Men's Blank Y Back Stringer Tank Top. Made in America,clothing,Tank Tops,high_confidence,True,1.0,2080.0,5.0,9,0,0,0,4.5,9.0
B016IO9QVA,"Travelpro Maxlite 4 25 Inch Expandable Spinner (One size, Blue)",luggage,Suitcases,high_confidence,True,1.0,599.0,5.0,12,0,2,0,4.5,8.0
B016P9A6GM,Skechers Sport Women's D'Lites Slip-On Mule Sneaker,shoes,Mules & Clogs,high_confidence,True,1.0,35324.0,412.0,67,54,81,95,4.6,9.0
B01789QZB8,Ripple Junction Men’s Naruto Shippuden Cosplay Military-Style Hoodie,clothing,Hoodies,high_confidence,True,1.0,3390.0,23.0,20,5,6,6,4.8,8.0
B0185HDV0A,KOH KOH Womens Long Sleeve V-Neck High Slit Cocktail Evening Gown Maxi Dress,clothing,Formal,high_confidence,True,1.0,696.0,8.0,8,0,0,1,3.9,8.0
B01BE5BU3A,Casual Nights Women's Fancy Lace Neckline Silky Tricot Nightgown,clothing,Nightgowns & Sleepshirts,high_confidence,True,1.0,676.0,9.0,21,1,1,1,4.5,9.0
B01BH6XY58,"Kurve Women's Shelf Bras Padded Cami with Removable Pads, UPF 50+ (Made in USA)",clothing,Everyday Bras,high_confidence,True,1.0,652.0,12.0,22,2,1,1,4.2,8.0
B01C6SL1D8,KAVU Original Rope Bag Sling Pack with Adjustable Rope Shoulder Strap,bags,Crossbody Bags,high_confidence,True,1.0,13278.0,97.0,28,9,15,18,4.8,7.0
B01CA5VE20,Baby Boys Girls Breathable Comfortable Sneakers Rubber Sole Non-Slip Outdoor First Walkers Shoes 6-24 Months,shoes,Sneakers,high_confidence,True,1.0,1358.0,7.0,10,0,1,2,4.5,7.0
B01CEZH3Y4,6 Pairs Pack Women Dr Motion Graduated Compression Knee High Socks (6 Pk New Assorted ),clothing,Socks,high_confidence,True,1.0,1160.0,11.0,29,1,1,0,4.7,9.0
B01CFG4WP0,Joe's USA Men's Big & Tall Short Sleeve Moisture Wicking Silk Touch Polo Shirt,clothing,Polos,high_confidence,True,1.0,1037.0,14.0,16,3,3,4,4.2,9.0
B01CH539GM,Alilang Empress Monarch Winged Butterfly Swarovski Crystal Rhinestone Brooch Pin,jewelry,Brooches & Pins,high_confidence,True,1.0,786.0,10.0,12,0,2,1,4.7,8.0
B01D24J1WI,Rubie's Adult Inflatable Minion Stuart Costume,costumes & accessories,Costumes,high_confidence,True,1.0,667.0,5.0,9,0,0,1,4.4,9.0
B01DJ659UM,Orient Trail Women's Hippie Boho Wide Leg Harem Pants Flared Bottom US Size 0-22,clothing,Pants,high_confidence,True,1.0,1972.0,20.0,15,2,4,5,4.3,8.0
B01DYHXCXW,roswear Women's Ripped Denim Destroyed Mid Rise Stretchy Bermuda Shorts Jeans,clothing,Shorts,high_confidence,True,1.0,10260.0,41.0,14,2,7,6,4.3,8.0
B01E6VUOFY,"Rockland Melrose Upright Wheeled Underseater Luggage, Owl, Carry-On 16-Inch",luggage,Carry-Ons,high_confidence,True,1.0,193.0,6.0,14,1,2,2,4.5,9.0
B01EA2P850,"Hanes Sport Women's Polo Shirt, Women’s Cool DRI Moisture-Wicking Performance Polo Shirt, Women’s Jersey Knit Polo Shirt",clothing,Polos,high_confidence,True,1.0,16875.0,86.0,62,11,15,14,4.3,8.0
B01FJVB44A,District Made DM138L Perfect Tri Racerback Tank,clothing,Tanks & Camis,high_confidence,True,1.0,1971.0,8.0,20,2,3,0,4.6,9.0
B01FXPARHM,Wantdo Men's Military Jacket Casual Bomber Jacket Stand Collar Canvas Jacket Windbreaker,clothing,Windbreakers,high_confidence,True,1.0,2399.0,9.0,29,2,2,0,4.4,8.0
B01G1ORT5M,"RFID Blocking Travel Wallet - Money Belt & Passport Holder, Travel Fanny Pack for Women Men - Black",luggage,Travel Wallets,high_confidence,True,1.0,2293.0,17.0,12,0,2,3,4.5,8.0
B01HJA0W24,"Timberland Women's 6"" Premium Waterproof Boots",shoes,Ankle & Bootie,high_confidence,True,1.0,6712.0,11.0,13,1,1,1,4.5,8.0
B01HWNHYI8,"Flora&Fred Women's Cable Knit Cotton Crew Socks, Size 9-11 / Shoe Size 5-9, 3 Pairs Pack",clothing,Calf Socks,high_confidence,True,1.0,595.0,4.0,21,1,0,1,4.4,8.0
B01I2N6GUO,idealway Vintage Waist Chain Hollow Carving Rhinestone Crystal Body Chain Summer Beach Body Waist Chain Jewelry,jewelry,Body Chains,high_confidence,True,1.0,1141.0,9.0,15,1,1,1,4.3,9.0
B01IUJFG60,N'Ice Caps Boys Taslon Trapper Winter Hat with Large Flaps,accessories,Hats & Caps,high_confidence,True,1.0,838.0,8.0,35,1,3,1,4.5,8.0
B01J5RRQJG,MJSCPHBJK Men's Digital Sports Watch Electronic Military Waterproof Watches for Men Outdoor Running with LED Back Light Alarm Stopwatch Army Watch,watches,Wrist Watches,high_confidence,True,1.0,1430.0,7.0,8,0,0,1,4.0,8.0
B01JGRHHTY,Bracelets Gold Plated Open Cuff Bangles Gift Choice for Women & Girls Fashion (Classic Bohemia),jewelry,Bangle,high_confidence,True,1.0,676.0,4.0,10,0,0,0,4.2,8.0
B01KIKLVVS,Casio Sports Watch Men's Stainless Steel Quartz with Strap Black,watches,Wrist Watches,high_confidence,True,1.0,589.0,4.0,8,0,0,0,4.6,9.0
B01M16LHXS,"Dowswin Watch Back replacement tool kit,Watch Adjustable Opener Back Case Press Closer and Watch Case Back Remover Repair Holder Tool","shoe, jewelry & watch accessories",Repair Tools & Kits,high_confidence,True,1.0,3212.0,21.0,13,1,4,1,4.2,6.0
B01M1DW20R,Urban CoCo Women's Vintage Elastic Waist A-Line Long Midi Skirt,clothing,Skirts,high_confidence,True,1.0,5140.0,50.0,27,9,7,7,3.9,8.0
B01M6U3188,City Classified Womens Thomas Mary Jane Strap Comfortable Office Dress Platform Wedge Heel Shoes,shoes,Shoes,high_confidence,True,1.0,671.0,13.0,31,3,2,1,4.0,9.0
B01MDPLAZO,Hawaiian Shirt Mens Christmas Santa Claus Party Aloha Holiday Beach,clothing,Casual Button-Down Shirts,high_confidence,True,1.0,2570.0,13.0,18,2,5,5,4.6,8.0
B01MDRGXJ2,Hawaii Flower Polarized Rhinestone Sunglasses Fit Over Oval Rectangular Cover Sunglasses,accessories,Sunglasses,high_confidence,True,1.0,654.0,6.0,10,0,1,0,4.4,9.0
B01MRLC0TY,Carhartt Men's Force Ridgefield Long Sleeve Shirt (Regular and Big & Tall Sizes),clothing,Tops,high_confidence,True,1.0,256.0,5.0,24,1,1,1,4.6,8.0
B01MSNGOMO,COOFANDY Mens Scottish Jacobite Ghillie Kilt Shirts Medieval Renaissance Pirate Costume Long Sleeve Lace Up Henley Shirt,costumes & accessories,Tops,high_confidence,True,1.0,1303.0,9.0,25,2,1,1,4.4,8.0
B01MYUCJBF,Vionic Agile Kea - Women's Orthotic Supportive Slip-on Fitness Shoe,shoes,Walking,high_confidence,True,1.0,2291.0,26.0,14,3,3,3,4.4,9.0
B01N44118B,maikun Mens Dress Leather Belt Plaque Buckle 35mm Width For Father's Day,accessories,Belts,high_confidence,True,1.0,3558.0,11.0,13,1,2,2,4.3,8.0
B01N4GBG6G,Clarks Women's Raisie Bloom Oxford,shoes,Oxfords,high_confidence,True,1.0,840.0,7.0,15,3,2,1,4.4,9.0
B01N5I8PKP,"Reebok Men's Dauntless 8"" Tactical Boots with Side Zip",shoes,Military & Tactical,high_confidence,True,1.0,149.0,7.0,18,1,2,1,4.2,9.0
B01N5NG2RW,SheIn Women's Striped Collar Blouse Short Ruffle Sleeve Babydoll Shirt Top,clothing,Blouses & Button-Down Shirts,high_confidence,True,1.0,1029.0,7.0,12,0,0,1,3.8,8.0
B06WWB8RDS,FAYBOX Women's Cat Socks Cute Animal Socks No Show Socks，Birthday Gifts for Women Her Girls 5 Pairs,clothing,No Show & Liner Socks,high_confidence,True,1.0,651.0,4.0,15,1,1,1,4.8,8.0
B06XCT31TK,Hanes Men's Beefy Long Sleeve Shirt (1 and 2 Pack Option),clothing,T-Shirts,high_confidence,True,1.0,8184.0,51.0,40,7,10,11,4.5,9.0
B06XGRY2CS,RJ-Sport Tieless Elastic Shoe Laces - Heavy Duty No Tie Shoelaces for Kids and Adult with Strong Lock and Speed Shoestrings,"shoe, jewelry & watch accessories",Shoelaces,high_confidence,True,1.0,9306.0,123.0,34,18,15,23,4.3,8.0
B06XX1P6Y2,Meaiguo Toe Socks No Show Cotton Low Cut Five Finger Socks Athletic for Women,clothing,Socks,high_confidence,True,1.0,191.0,27.0,14,2,4,3,4.3,8.0
B06Y45LQP3,"Hanes Men’s X-Temp Short Sleeve Polo Shirt, Midweight Men's Shirt",clothing,Polos,high_confidence,True,1.0,22085.0,83.0,42,12,17,21,4.5,9.0
B06Y5SB28W,ALYSSA Double Compartment Large Flapover Crossbody Bag,bags,Crossbody Bags,high_confidence,True,1.0,10891.0,93.0,52,13,17,18,4.4,8.0
B06ZYX4PD5,Tengo Womens High Waist Microstretch Cotton Denim Shorts,clothing,Denim,high_confidence,True,1.0,6975.0,30.0,69,5,4,4,4.2,9.0
B06ZZNRWF1,"Shadowline Women's 2410 Princess Wide Strap Camisole, Beige,Black,Nude,White, 32,34,36,38,40,42,44,46,48,50",clothing,Camisoles & Tanks,high_confidence,True,1.0,598.0,8.0,15,2,1,3,4.4,9.0
B06ZZW2ZT1,Ninedaily Womens Business Tops Lapel V Neck Slimming Long Sleeve Office Blouse,clothing,Blouses & Button-Down Shirts,high_confidence,True,1.0,798.0,10.0,17,3,3,4,3.9,8.0
B0711QBT8X,CiNily 18K White Gold Plated Leaf Opal Dangle Drop Earrings for Women Teen Girls Hypoallergenic Opal Jewelry Gift,jewelry,Drop & Dangle,high_confidence,True,1.0,1245.0,16.0,18,6,4,5,4.6,8.0
B0719GWHC8,Boys 3Pcs Clothing Sets Cotton Long Sleeve Bowtie Shirts +Vest +Pants Casual Suit,clothing,Pant Sets,high_confidence,True,1.0,831.0,5.0,16,1,2,0,4.5,9.0
B071HSTPDV,Add Your Own Text and Design Custom Personalized Sweatshirt Hoodie,clothing,Hoodies,high_confidence,True,1.0,2821.0,31.0,43,7,8,9,4.4,8.0
B071JQY33S,Goodthreads Men's Standard-Fit Long-Sleeve Plaid Oxford Shirt,clothing,Casual Button-Down Shirts,high_confidence,True,1.0,3050.0,6.0,16,2,0,2,4.5,9.0
B071RG3CCH,Go Tour Men's Premium Genuine Leather Casual Slip on Loafers Breathable Driving Shoes Fashion Slipper,shoes,Loafers & Slip-Ons,high_confidence,True,1.0,7815.0,83.0,37,9,10,11,4.2,8.0
B071WPG92J,"Opret 2 Pack Raincoats for Adults Reusable, EVA Rain Ponchos Lightweight Rain Coat Waterproof Rain Gear for Men and Women",clothing,Raincoats,high_confidence,True,1.0,3307.0,25.0,26,4,6,5,4.2,8.0
B071WPGPCT,LALANG 1 pc Lip Stud Earring Skeleton Hand Ear Cuff Piercing Ring Bar Jewelry,jewelry,Rings,high_confidence,True,1.0,1677.0,4.0,9,0,0,0,2.8,7.0
B0725NL65K,BVAGSS Women Rimless Oversized Studded Sunglasses Gradient Color Lens Rivet Fashion Lightweight Design WS027,accessories,Sunglasses,high_confidence,True,1.0,2414.0,6.0,25,1,1,3,4.6,8.0
B072KW9VLY,Sanuk Women's Yoga Gora Gora,shoes,Slides,high_confidence,True,1.0,957.0,5.0,9,0,0,1,4.2,9.0
B072N86ZGW,"YEENIK Men’s Digital Watch, Led Military 50M Waterproof Sports Watches for Men, Electronic Hand Wrist Watch with Alarm Stopwatch Dual Time Zone Count Down EL Backlight Calendar Date for Men - Black",watches,Watch Bands,high_confidence,True,1.0,1259.0,12.0,11,0,1,3,4.2,7.0
B072VN8TV8,UNY Austrian Pave Crystals Designer Inspired Personality Bracelets Alloy Bangle Jewelry Antique Jewelry,jewelry,Strand,high_confidence,True,1.0,382.0,6.0,55,2,3,2,4.1,9.0
B0735V67KT,"Fruit of the Loom mens Cushioned Durable Cotton Work Gear With Moisture Wicking Casual Sock, White, 6-12 US(Pack of 10)",clothing,Athletic Socks,high_confidence,True,1.0,30153.0,169.0,44,13,14,36,4.5,9.0
B073DYJ2V1,Flexfit Men's Athletic Baseball Fitted Cap,accessories,Baseball Caps,high_confidence,True,1.0,30704.0,181.0,61,17,26,33,4.6,9.0
B073H3GF9H,"GLORIA VANDERBILT Women's Plus Size Classic Amanda High Rise Tapered Jean, Scottsdale Wash, 20 Plus regular",clothing,Jeans,high_confidence,True,1.0,800.0,855.0,55,125,154,191,4.5,9.0
B0742JP347,Brinley Co. Womens Regular and Wide Calf Round Toe Faux Leather Mid-Calf Wedge Boots,boot shop,Riding,high_confidence,True,1.0,807.0,9.0,12,0,0,0,4.1,8.0
B0743PTXSY,Minnetonka Women's Alpine Sheepskin Slippers,shoes,Slippers,high_confidence,True,1.0,1450.0,12.0,17,1,1,2,4.4,8.0
B0746GX94R,MANER Women's Sequin Glitter Short Sleeve Dress Sexy V Neck Mini Party Club Bodycon Dresses,clothing,Club & Night Out,high_confidence,True,1.0,3306.0,48.0,26,5,6,7,4.2,8.0
B0749967DB,Zeagoo Women's 3 4 Sleeve Bolero Shrugs Crochet Lace Open Cardigan,clothing,Shrugs,high_confidence,True,1.0,2591.0,31.0,42,5,8,10,4.1,8.0
B074CSP7LV,LKOUS Women's Stretchy High Waisted Wide Leg Button-Down Pants,clothing,Casual,high_confidence,True,1.0,5018.0,70.0,23,8,5,8,3.4,8.0
B074N2DTSX,FAIRY COUPLE 1920s Floor-Length V-Back Sequined Embellished Prom Evening Dress D20S004,clothing,Dresses,high_confidence,True,1.0,1353.0,6.0,20,1,2,1,4.2,8.0
B074N8JH9G,Skysole Boys Fleece Clog Slipper with Rugged Outsole,shoes,Slippers,high_confidence,True,1.0,1150.0,6.0,21,1,1,2,4.1,9.0
B074ZTFX43,Gerlobal Mens Gym Workout Active Muscle Bodybuilding Long Sleeve Hoodies Casual Hooded Sweatshirts,clothing,Active Hoodies,high_confidence,True,1.0,995.0,10.0,37,2,2,0,4.3,7.0
B0757ZRV1C,The Hat Depot Light Weight Classic Mesh Newsboy Ivy Gatsby Cabbie Golf Hat Cap,accessories,Newsboy Caps,high_confidence,True,1.0,493.0,6.0,15,1,1,0,4.4,8.0
B075G32GC9,Cole Haan Men's Grand Tour Chukka Boot,shoes,Chukka,high_confidence,True,1.0,1115.0,4.0,14,1,1,0,4.5,9.0
B075LPBBP6,Hiigoo Fashion Women's Multi-pocket Cotton Canvas Handbags Shoulder Bags Totes Purses,bags,Totes,high_confidence,True,1.0,5124.0,36.0,30,4,7,5,4.3,9.0
B075LPX32H,Carhartt Men's Rugged Professional™ Series Canvas Mesh-Back Cap,accessories,Baseball Caps,high_confidence,True,1.0,14716.0,35.0,20,3,6,8,4.5,9.0
B075LVZPH4,Skechers Elm,shoes,Ankle & Bootie,high_confidence,True,1.0,647.0,7.0,15,1,1,0,4.3,9.0
B075QPB1T6,"Quality Stays 250 Plastic Collar Stays for Men - Men's Collar Stays for Men's Dress Shirts, 4 Sizes",accessories,Collar Stays,high_confidence,True,1.0,1346.0,9.0,31,2,2,2,4.7,8.0
B075QYCYW1,Xtratuf Men's 12 in Legacy Boot,boot shop,Rain,high_confidence,True,1.0,162.0,5.0,25,1,1,1,4.6,9.0
B075R22Y5X,"Hudson Durable Goods - Professional Grade Chef Apron for Kitchen, BBQ & Grill",clothing,Aprons,high_confidence,True,1.0,6577.0,70.0,18,5,7,7,4.7,8.0
B075SVYYYB,ESTAMICO Toddler Boy's Premium Soft Plush Slippers Cartoon Warm Winter House Shoes,kids shoes union,Baby Boys Shoes Union,high_confidence,True,1.0,1827.0,15.0,11,0,0,5,4.3,8.0
B075SYJ8M2,FITEXTREME MAXHEAT Mens Thermal Underwear Long Johns Set with Fleece Lined,clothing,Bottoms,high_confidence,True,1.0,4851.0,23.0,24,3,6,4,4.4,7.0
B075VLHTV4,Soojun Women's Waffle Fleece Soft Zip Up Front Bathrobe,clothing,Robes,high_confidence,True,1.0,2934.0,39.0,19,4,9,7,4.5,8.0
B0761ZMSPT,FIFTH CUE 14G Solid G23 Implant Grade Titanium INTERNALLY THREADED Double Jeweled Naval Belly Ring,jewelry,Rings,high_confidence,True,1.0,597.0,7.0,17,1,0,2,4.2,9.0
